Bedrooms,Bathrooms,AreaSqFt,PricePerSqFt,PropertyType,Neighborhood,SoldPrice,Address
2.0,2.0,900.0,1192.2222222222222,CONDOS,San Francisco,1073000,"1288 Howard St Apt 505, San Francisco, CA, 94103"
4.0,3.0,2181.0,664.8326455754241,SINGLE_FAMILY,San Francisco,1450000,"331 London St, San Francisco, CA, 94112"
1.0,1.0,503.0,970.1789264413519,CONDOS,San Francisco,488000,"240 Lombard St Apt 534, San Francisco, CA, 94111"
2.0,1.0,829.0,868.5162846803378,CONDOS,San Francisco,720000,"44 Salmon St, San Francisco, CA, 94133"
2.0,1.0,1624.0,597.2906403940887,CONDO,San Francisco,970000,"1976 Fell St, San Francisco, CA, 94117"
0.0,1.0,621.0,805.1529790660226,CONDOS,San Francisco,500000,"1839 15th St Apt 155, San Francisco, CA, 94103"
2.0,2.0,1070.0,962.6168224299065,CONDOS,San Francisco,1030000,"2922 Pine St, San Francisco, CA, 94115"
1.0,1.0,504.0,932.5396825396825,CONDOS,San Francisco,470000,"1 Hawthorne St Unit 6F, San Francisco, CA, 94105"
5.0,4.0,3100.0,1032.258064516129,SINGLE_FAMILY,San Francisco,3200000,"41 Westwood Dr, San Francisco, CA, 94112"
2.0,1.0,1538.0,650.1950585175553,SINGLE_FAMILY,San Francisco,1000000,"1264 Page St Apt D, San Francisco, CA, 94117"
1.0,2.0,1097.0,683.6827711941659,CONDOS,San Francisco,750000,"385 10th St Apt 6, San Francisco, CA, 94103"
1.0,1.0,852.0,850.9389671361503,CONDOS,San Francisco,725000,"170 King St Unit 504, San Francisco, CA, 94107"
3.0,2.0,1472.0,542.7989130434783,SINGLE_FAMILY,San Francisco,799000,"446 Bayview Cir, San Francisco, CA, 94124"
4.0,1.0,1538.0,591.6775032509753,SINGLE_FAMILY,San Francisco,910000,"1015 Key Ave, San Francisco, CA, 94124"
2.0,2.0,1227.0,1283.6185819070904,CONDOS,San Francisco,1575000,"8 Landers St Unit 301, San Francisco, CA, 94114"
1.0,1.0,835.0,883.8323353293413,CONDOS,San Francisco,738000,"1425 Vallejo St Apt 102, San Francisco, CA, 94109"
4.0,2.0,2210.0,904.9773755656108,SINGLE_FAMILY,San Francisco,2000000,"86 St Marys Ave, San Francisco, CA, 94112"
4.0,6.0,2740.0,729.92700729927,MULTI_FAMILY,San Francisco,2000000,"514 Hill St, San Francisco, CA, 94114"
2.0,2.0,1168.0,1138.6986301369864,CONDOS,San Francisco,1330000,"435 China Basin St Unit 527, San Francisco, CA, 94158"
2.0,2.0,2360.0,646.1864406779661,CONDOS,San Francisco,1525000,"542 Natoma St Unit 1, San Francisco, CA, 94103"
6.0,2.0,6600.0,314.3939393939394,MULTI_FAMILY,San Francisco,2075000,"230 Castro St, San Francisco, CA, 94114"
3.0,2.0,1365.0,842.4908424908425,SINGLE_FAMILY,San Francisco,1150000,"17 Rey St, San Francisco, CA, 94134"
4.0,2.0,2250.0,715.5555555555555,MULTI_FAMILY,San Francisco,1610000,"735-737 40th Ave, San Francisco, CA, 94121"
3.0,2.0,1313.0,997.7151561309977,SINGLE_FAMILY,San Francisco,1310000,"66 Athens St, San Francisco, CA, 94112"
2.0,2.0,1820.0,991.0714285714286,COOP,San Francisco,1803750,"2111 Hyde St Unit 301, San Francisco, CA, 94109"
1.0,1.0,1538.0,503.90117035110535,CONDOS,San Francisco,775000,"1734 Bay St Apt 103, San Francisco, CA, 94123"
3.0,2.0,2070.0,1862.3188405797102,SINGLE_FAMILY,San Francisco,3855000,"466 Liberty St, San Francisco, CA, 94114"
3.0,4.0,4242.0,2062.7062706270626,CONDOS,San Francisco,8750000,"706 Mission St Unit 35B, San Francisco, CA, 94103"
3.0,1.0,842.0,587.8859857482186,CONDOS,San Francisco,495000,"2985 Mission St Unit 302, San Francisco, CA, 94110"
2.0,2.0,1544.0,777.2020725388601,CONDOS,San Francisco,1200000,"101 Lombard St Apt 707W, San Francisco, CA, 94111"
3.0,2.0,1400.0,1185.7142857142858,SINGLE_FAMILY,San Francisco,1660000,"150 Cresta Vista Dr, San Francisco, CA, 94127"
1.0,1.0,975.0,758.974358974359,CONDOS,San Francisco,740000,"1340 Clay St Unit 302, San Francisco, CA, 94109"
2.0,1.0,1363.0,1137.1973587674247,CONDOS,San Francisco,1550000,"3731 23rd St, San Francisco, CA, 94114"
1.0,1.0,886.0,936.7945823927765,CONDOS,San Francisco,830000,"1591 Jackson St Apt 7, San Francisco, CA, 94109"
1.0,2.0,1263.0,641.3301662707838,MULTI_FAMILY,San Francisco,810000,"1501-1503 29th Ave, San Francisco, CA, 94122"
3.0,4.0,2546.0,903.3778476040849,SINGLE_FAMILY,San Francisco,2300000,"30 Brompton Ave, San Francisco, CA, 94131"
1.0,1.0,945.0,767.1957671957672,CONDOS,San Francisco,725000,"310 Townsend St Apt 202, San Francisco, CA, 94107"
1.0,1.0,1538.0,796.4889466840052,CONDOS,San Francisco,1225000,"1500 Francisco St Apt 3, San Francisco, CA, 94123"
1.0,1.0,748.0,822.192513368984,CONDOS,San Francisco,615000,"128 Morris St Apt 15, San Francisco, CA, 94107"
2.0,1.0,1163.0,920.0343938091144,CONDOS,San Francisco,1070000,"241 Lily St Unit B, San Francisco, CA, 94102"
4.0,2.0,2048.0,463.8671875,MULTI_FAMILY,San Francisco,950000,"2383-2385 26th Ave, San Francisco, CA, 94116"
2.0,1.0,1380.0,1173.9130434782608,SINGLE_FAMILY,San Francisco,1620000,"1750 26th Ave, San Francisco, CA, 94122"
1.0,1.0,731.0,1087.5512995896033,CONDOS,San Francisco,795000,"1 S Park St Apt 203, San Francisco, CA, 94107"
2.0,1.0,1000.0,930.0,SINGLE_FAMILY,San Francisco,930000,"333 Elliot St, San Francisco, CA, 94134"
1.0,1.0,991.0,983.8546922300707,CONDOS,San Francisco,975000,"3675 Fillmore St Apt 201, San Francisco, CA, 94123"
1.0,1.0,963.0,808.9304257528556,CONDOS,San Francisco,779000,"3118 18th St Apt 2, San Francisco, CA, 94110"
2.0,2.0,1218.0,1379.3103448275863,CONDOS,San Francisco,1680000,"1000 3rd St Unit 1505, San Francisco, CA, 94158"
4.0,2.0,2750.0,872.7272727272727,SINGLE_FAMILY,San Francisco,2400000,"612 12th Ave, San Francisco, CA, 94118"
2.0,2.0,1024.0,810.546875,SINGLE_FAMILY,San Francisco,830000,"1483 Sutter St Unit 517, San Francisco, CA, 94109"
2.0,1.0,1342.0,875.5588673621461,CONDOS,San Francisco,1175000,"710 Bay St, San Francisco, CA, 94109"
4.0,2.0,3749.0,1333.6887169911977,SINGLE_FAMILY,San Francisco,4999999,"21 5th Ave, San Francisco, CA, 94118"
2.0,3.0,2655.0,1129.9435028248588,TOWNHOMES,San Francisco,3000000,"3537 23rd St Unit A, San Francisco, CA, 94110"
2.0,1.0,2067.0,979.6806966618287,SINGLE_FAMILY,San Francisco,2025000,"154 Stanyan St, San Francisco, CA, 94118"
1.0,1.0,580.0,991.3793103448276,CONDOS,San Francisco,575000,"555 4th St Unit 636, San Francisco, CA, 94107"
2.0,2.0,950.0,652.6315789473684,CONDOS,San Francisco,620000,"8100 Oceanview Ter Apt 117, San Francisco, CA, 94132"
2.0,2.0,1590.0,1084.9056603773586,SINGLE_FAMILY,San Francisco,1725000,"1587 23rd Ave, San Francisco, CA, 94122"
4.0,4.0,1538.0,5851.7555266579975,SINGLE_FAMILY,San Francisco,9000000,"2516 Union St, San Francisco, CA, 94123"
2.0,1.0,757.0,865.2575957727873,CONDOS,San Francisco,655000,"723 Taylor St Apt 402, San Francisco, CA, 94108"
3.0,2.0,2285.0,815.3172866520788,SINGLE_FAMILY,San Francisco,1863000,"1507 30th Ave, San Francisco, CA, 94122"
5.0,3.0,1789.0,550.5869200670766,SINGLE_FAMILY,San Francisco,985000,"884 Ingerson Ave, San Francisco, CA, 94124"
5.0,1.0,3237.0,1081.2480691998765,SINGLE_FAMILY,San Francisco,3500000,"3740 Sacramento St, San Francisco, CA, 94118"
1.0,1.0,746.0,1172.922252010724,CONDOS,San Francisco,875000,"55 Page St Apt 817, San Francisco, CA, 94102"
2.0,2.0,1812.0,717.439293598234,CONDOS,San Francisco,1300000,"1011 23rd St Apt 14, San Francisco, CA, 94107"
2.0,2.0,1098.0,728.5974499089253,CONDOS,San Francisco,800000,"301 Mission St Apt 8E, San Francisco, CA, 94105"
3.0,3.0,2655.0,868.1732580037665,SINGLE_FAMILY,San Francisco,2305000,"115 Pinehurst Way, San Francisco, CA, 94127"
2.0,2.0,1538.0,1095.5786736020807,CONDOS,San Francisco,1685000,"1099 Dolores St Unit A, San Francisco, CA, 94110"
2.0,1.0,1180.0,2288.135593220339,SINGLE_FAMILY,San Francisco,2700000,"2207 Broderick St, San Francisco, CA, 94115"
1.0,1.0,1107.0,840.1084010840109,CONDOS,San Francisco,930000,"3555 17th St, San Francisco, CA, 94110"
6.0,4.0,3666.0,570.1036552100381,MULTI_FAMILY,San Francisco,2090000,"837-839 Filbert St, San Francisco, CA, 94133"
3.0,3.0,1694.0,1210.1534828807555,CONDOS,San Francisco,2050000,"219 Brannan St Unit 3G, San Francisco, CA, 94107"
1.0,1.0,631.0,871.6323296354992,CONDOS,San Francisco,550000,"2415 Van Ness Ave Apt 504, San Francisco, CA, 94109"
2.0,2.0,1382.0,1175.8321273516642,CONDOS,San Francisco,1625000,"338 Main St Unit 6E, San Francisco, CA, 94105"
4.0,2.0,2750.0,1294.5454545454545,MULTI_FAMILY,San Francisco,3560000,"3240-3242 Clay St, San Francisco, CA, 94115"
3.0,4.0,2236.0,933.8103756708408,SINGLE_FAMILY,San Francisco,2088000,"2055 42nd Ave, San Francisco, CA, 94116"
3.0,1.0,1644.0,961.0705596107056,SINGLE_FAMILY,San Francisco,1580000,"130 Meadowbrook Dr, San Francisco, CA, 94132"
4.0,4.0,3000.0,1166.6666666666667,CONDOS,San Francisco,3500000,"1940 Vallejo St Apt 3, San Francisco, CA, 94123"
2.0,2.0,1479.0,689.6551724137931,CONDOS,San Francisco,1020000,"301 Mission St Apt 14A, San Francisco, CA, 94105"
3.0,2.0,1120.0,1428.5714285714287,CONDOS,San Francisco,1600000,"181 Parnassus Ave, San Francisco, CA, 94117"
2.0,2.0,1240.0,1112.9032258064517,SINGLE_FAMILY,San Francisco,1380000,"839 Cole St Unit 839, San Francisco, CA, 94117"
2.0,1.0,1538.0,604.6814044213264,SINGLE_FAMILY,San Francisco,930000,"837 Union St, San Francisco, CA, 94133"
2.0,1.0,1026.0,1345.029239766082,SINGLE_FAMILY,San Francisco,1380000,"204 Panorama Dr, San Francisco, CA, 94131"
8.0,2.0,6195.0,403.5512510088781,MULTI_FAMILY,San Francisco,2500000,"2663 California St, San Francisco, CA, 94115"
2.0,1.0,854.0,878.2201405152225,SINGLE_FAMILY,San Francisco,750000,"1250 Vallejo St Apt 8, San Francisco, CA, 94109"
4.0,5.0,3754.0,451.51838039424615,MULTI_FAMILY,San Francisco,1695000,"1401-1405 Church St, San Francisco, CA, 94131"
2.0,1.0,1465.0,682.5938566552901,SINGLE_FAMILY,San Francisco,1000000,"1530 27th Ave, San Francisco, CA, 94122"
1.0,2.0,1075.0,1093.0232558139535,CONDOS,San Francisco,1175000,"1970 Sutter St Apt 203, San Francisco, CA, 94115"
1.0,1.0,579.0,880.8290155440415,CONDOS,San Francisco,510000,"900 Bush St Apt 402, San Francisco, CA, 94109"
