Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood
"1288 Howard St Apt 505, San Francisco, CA, 94103",1073000,2.0,2.0,900.0,CONDOS,San Francisco
"331 London St, San Francisco, CA, 94112",1450000,4.0,3.0,2181.0,SINGLE_FAMILY,San Francisco
"240 Lombard St Apt 534, San Francisco, CA, 94111",488000,1.0,1.0,503.0,CONDOS,San Francisco
"44 Salmon St, San Francisco, CA, 94133",720000,2.0,1.0,829.0,CONDOS,San Francisco
"1976 Fell St, San Francisco, CA, 94117",970000,2.0,1.0,1624.0,CONDO,San Francisco
"1839 15th St Apt 155, San Francisco, CA, 94103",500000,0.0,1.0,621.0,CONDOS,San Francisco
"2922 Pine St, San Francisco, CA, 94115",1030000,2.0,2.0,1070.0,CONDOS,San Francisco
"1 Hawthorne St Unit 6F, San Francisco, CA, 94105",470000,1.0,1.0,504.0,CONDOS,San Francisco
"41 Westwood Dr, San Francisco, CA, 94112",3200000,5.0,4.0,3100.0,SINGLE_FAMILY,San Francisco
"1264 Page St Apt D, San Francisco, CA, 94117",1000000,2.0,1.0,,SINGLE_FAMILY,San Francisco
"385 10th St Apt 6, San Francisco, CA, 94103",750000,1.0,2.0,1097.0,CONDOS,San Francisco
"170 King St Unit 504, San Francisco, CA, 94107",725000,1.0,1.0,852.0,CONDOS,San Francisco
"446 Bayview Cir, San Francisco, CA, 94124",799000,3.0,2.0,1472.0,SINGLE_FAMILY,San Francisco
"1015 Key Ave, San Francisco, CA, 94124",910000,4.0,1.0,,SINGLE_FAMILY,San Francisco
"8 Landers St Unit 301, San Francisco, CA, 94114",1575000,2.0,2.0,1227.0,CONDOS,San Francisco
"1425 Vallejo St Apt 102, San Francisco, CA, 94109",738000,1.0,1.0,835.0,CONDOS,San Francisco
"86 St Marys Ave, San Francisco, CA, 94112",2000000,4.0,2.0,2210.0,SINGLE_FAMILY,San Francisco
"514 Hill St, San Francisco, CA, 94114",2000000,4.0,6.0,2740.0,MULTI_FAMILY,San Francisco
"435 China Basin St Unit 527, San Francisco, CA, 94158",1330000,2.0,2.0,1168.0,CONDOS,San Francisco
"542 Natoma St Unit 1, San Francisco, CA, 94103",1525000,2.0,2.0,2360.0,CONDOS,San Francisco
"230 Castro St, San Francisco, CA, 94114",2075000,6.0,,6600.0,MULTI_FAMILY,San Francisco
"17 Rey St, San Francisco, CA, 94134",1150000,3.0,2.0,1365.0,SINGLE_FAMILY,San Francisco
"735-737 40th Ave, San Francisco, CA, 94121",1610000,4.0,2.0,2250.0,MULTI_FAMILY,San Francisco
"66 Athens St, San Francisco, CA, 94112",1310000,3.0,2.0,1313.0,SINGLE_FAMILY,San Francisco
"2111 Hyde St Unit 301, San Francisco, CA, 94109",1803750,2.0,2.0,1820.0,COOP,San Francisco
"1734 Bay St Apt 103, San Francisco, CA, 94123",775000,1.0,1.0,,CONDOS,San Francisco
"466 Liberty St, San Francisco, CA, 94114",3855000,3.0,2.0,2070.0,SINGLE_FAMILY,San Francisco
"706 Mission St Unit 35B, San Francisco, CA, 94103",8750000,3.0,4.0,4242.0,CONDOS,San Francisco
"2985 Mission St Unit 302, San Francisco, CA, 94110",495000,3.0,1.0,842.0,CONDOS,San Francisco
"101 Lombard St Apt 707W, San Francisco, CA, 94111",1200000,2.0,2.0,1544.0,CONDOS,San Francisco
"150 Cresta Vista Dr, San Francisco, CA, 94127",1660000,3.0,2.0,1400.0,SINGLE_FAMILY,San Francisco
"1340 Clay St Unit 302, San Francisco, CA, 94109",740000,1.0,1.0,975.0,CONDOS,San Francisco
"3731 23rd St, San Francisco, CA, 94114",1550000,2.0,1.0,1363.0,CONDOS,San Francisco
"1591 Jackson St Apt 7, San Francisco, CA, 94109",830000,1.0,1.0,886.0,CONDOS,San Francisco
"1501-1503 29th Ave, San Francisco, CA, 94122",810000,1.0,,1263.0,MULTI_FAMILY,San Francisco
"30 Brompton Ave, San Francisco, CA, 94131",2300000,3.0,4.0,2546.0,SINGLE_FAMILY,San Francisco
"310 Townsend St Apt 202, San Francisco, CA, 94107",725000,1.0,1.0,945.0,CONDOS,San Francisco
"1500 Francisco St Apt 3, San Francisco, CA, 94123",1225000,1.0,1.0,,CONDOS,San Francisco
"128 Morris St Apt 15, San Francisco, CA, 94107",615000,1.0,1.0,748.0,CONDOS,San Francisco
"241 Lily St Unit B, San Francisco, CA, 94102",1070000,2.0,1.0,1163.0,CONDOS,San Francisco
"2383-2385 26th Ave, San Francisco, CA, 94116",950000,4.0,2.0,2048.0,MULTI_FAMILY,San Francisco
"1750 26th Ave, San Francisco, CA, 94122",1620000,2.0,1.0,1380.0,SINGLE_FAMILY,San Francisco
"1 S Park St Apt 203, San Francisco, CA, 94107",795000,1.0,1.0,731.0,CONDOS,San Francisco
"333 Elliot St, San Francisco, CA, 94134",930000,2.0,1.0,1000.0,SINGLE_FAMILY,San Francisco
