Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood,PricePerSqFt
"105 Anderson St, San Francisco, CA, 94110",1800000,3.0,2.0,1823.0,SINGLE_FAMILY,San Francisco,987.3834339001646
"60 13th St, San Francisco, CA, 94103",1550000,,1.0,5165.0,OTHER,San Francisco,300.09680542110357
"418 Anderson St, San Francisco, CA, 94110",1210000,2.0,1.0,836.0,SINGLE_FAMILY,San Francisco,1447.3684210526317
"441 Douglass St, San Francisco, CA, 94114",3585000,3.0,3.0,2737.0,SINGLE_FAMILY,San Francisco,1309.8282791377421
"1201 California St Unit 205, San Francisco, CA, 94109",775000,1.0,1.0,936.0,CONDOS,San Francisco,827.991452991453
"3835 19th St, San Francisco, CA, 94114",4990000,21.0,,14283.0,MULTI_FAMILY,San Francisco,349.3663796121263
"7725 Geary Blvd, San Francisco, CA, 94121",1680000,,,3750.0,MULTI_FAMILY,San Francisco,448.0
"221 Lily St, San Francisco, CA, 94102",875000,2.0,1.0,1061.0,SINGLE_FAMILY,San Francisco,824.693685202639
"30 Bernard St, San Francisco, CA, 94133",2100000,12.0,,4950.0,MULTI_FAMILY,San Francisco,424.24242424242425
"1438 Green St Unit 2B, San Francisco, CA, 94109",810000,1.0,1.0,974.0,CONDOS,San Francisco,831.6221765913758
"444 Lombard St, San Francisco, CA, 94133",4600000,12.0,,9954.0,MULTI_FAMILY,San Francisco,462.1257785814748
"2020 Hyde St, San Francisco, CA, 94109",2375000,3.0,2.0,1663.0,CONDOS,San Francisco,1428.141912206855
"708 Long Bridge St Apt 1411, San Francisco, CA, 94158",1525000,2.0,2.0,1018.0,CONDOS,San Francisco,1498.0353634577602
"1839 15th St Apt 456, San Francisco, CA, 94103",775000,1.0,1.0,897.0,CONDOS,San Francisco,863.9910813823857
"418 Jessie St # 504A, San Francisco, CA, 94103",630000,2.0,2.0,864.0,CONDO,San Francisco,729.1666666666666
"165 Burnside Ave, San Francisco, CA, 94131",1330000,3.0,1.0,1058.0,SINGLE_FAMILY,San Francisco,1257.0888468809073
"2261 Bush St Apt 6, San Francisco, CA, 94115",1895000,3.0,2.0,1674.0,CONDOS,San Francisco,1132.0191158900836
"495 Utah St, San Francisco, CA, 94110",1175000,8.0,7.0,4080.0,MULTI_FAMILY,San Francisco,287.9901960784314
"251 Roosevelt Way, San Francisco, CA, 94114",2000777,3.0,3.0,2000.0,CONDOS,San Francisco,1000.3885
"226 Rutledge St, San Francisco, CA, 94110",2256000,4.0,3.0,3061.0,SINGLE_FAMILY,San Francisco,737.0140476968311
"706 Mission St # 6B, San Francisco, CA, 94103",3000000,2.0,2.0,2623.0,CONDO,San Francisco,1143.728555089592
"2843 Webster St, San Francisco, CA, 94123",6200000,18.0,,15120.0,MULTI_FAMILY,San Francisco,410.0529100529101
"59 Dunsmuir St, San Francisco, CA, 94134",350000,,1.0,1300.0,SINGLE_FAMILY,San Francisco,269.2307692307692
"301 Marina Blvd, San Francisco, CA, 94123",5300000,4.0,5.0,3664.0,SINGLE_FAMILY,San Francisco,1446.5065502183406
"113-115 Bartlett St, San Francisco, CA, 94110",3000000,12.0,,6632.0,MULTI_FAMILY,San Francisco,452.3522316043426
"710 Arguello Blvd, San Francisco, CA, 94118",1475000,3.0,3.0,1470.0,CONDOS,San Francisco,1003.4013605442177
"1882 Green St, San Francisco, CA, 94123",3400000,3.0,3.0,1800.0,CONDO,San Francisco,1888.888888888889
"549 Duncan St, San Francisco, CA, 94131",2450000,2.0,1.0,2028.0,SINGLE_FAMILY,San Francisco,1208.0867850098618
"72 Townsend St Unit 902, San Francisco, CA, 94107",2650000,2.0,2.0,1722.0,CONDOS,San Francisco,1538.9082462253193
"1932 Fell St Apt 1, San Francisco, CA, 94117",535000,0.0,1.0,4800.0,SINGLE_FAMILY,San Francisco,111.45833333333333
"262 Byxbee St, San Francisco, CA, 94132",1400000,3.0,1.0,1534.0,SINGLE_FAMILY,San Francisco,912.6466753585397
"1358 S Van Ness Ave, San Francisco, CA, 94110",1903000,6.0,3.0,2930.0,SINGLE_FAMILY,San Francisco,649.4880546075085
"747 Filbert St, San Francisco, CA, 94133",2000000,4.0,2.0,2106.0,CONDOS,San Francisco,949.667616334283
"226 Thrift St, San Francisco, CA, 94112",1010000,2.0,1.0,1045.0,SINGLE_FAMILY,San Francisco,966.5071770334928
"1736 Fell St, San Francisco, CA, 94117",2250000,,,6825.0,MULTI_FAMILY,San Francisco,329.6703296703297
"1525 Shotwell St, San Francisco, CA, 94110",4995000,5.0,3.0,2608.0,SINGLE_FAMILY,San Francisco,1915.260736196319
"414 Lawton St, San Francisco, CA, 94122",1467000,2.0,2.0,1373.0,CONDOS,San Francisco,1068.463219227968
